x-axis,1,2
second,Volt,Volt
+40.5000E-06,+426.8750000000E+00,+16.3125000000E+00
+40.6000E-06,+423.7500000000E+00,+16.3125000000E+00
+40.7000E-06,+423.7500000000E+00,+16.0000000000E+00
+40.8000E-06,+423.7500000000E+00,+16.0000000000E+00
+40.9000E-06,+423.7500000000E+00,+16.0000000000E+00
+41.0000E-06,+420.6250000000E+00,+16.0000000000E+00
+41.1000E-06,+420.6250000000E+00,+16.0000000000E+00
+41.2000E-06,+417.5000000000E+00,+16.3125000000E+00
+41.3000E-06,+420.6250000000E+00,+16.3125000000E+00
+41.4000E-06,+420.6250000000E+00,+16.0000000000E+00
+41.5000E-06,+420.6250000000E+00,+16.0000000000E+00
+41.6000E-06,+420.6250000000E+00,+16.3125000000E+00
+41.7000E-06,+423.7500000000E+00,+16.0000000000E+00
+41.8000E-06,+423.7500000000E+00,+16.3125000000E+00
+41.9000E-06,+426.8750000000E+00,+16.0000000000E+00
+42.0000E-06,+426.8750000000E+00,+16.3125000000E+00
+42.1000E-06,+423.7500000000E+00,+16.0000000000E+00
+42.2000E-06,+423.7500000000E+00,+16.3125000000E+00
+42.3000E-06,+420.6250000000E+00,+16.3125000000E+00
+42.4000E-06,+420.6250000000E+00,+16.3125000000E+00
+42.5000E-06,+420.6250000000E+00,+16.6250000000E+00
+42.6000E-06,+420.6249999976E+00,+16.0000000000E+00
+42.7000E-06,-4.3750000000E+00,+16.0000000000E+00
+42.8000E-06,-10.6250000000E+00,+16.0000000000E+00
+42.9000E-06,-7.5000000000E+00,+15.6875000000E+00
+43.0000E-06,-10.6250000000E+00,+15.6875000000E+00
+43.1000E-06,-7.5000000000E+00,+16.0000000000E+00
+43.2000E-06,-10.6250000000E+00,+15.6875000000E+00
+43.3000E-06,-10.6250000000E+00,+15.6875000000E+00
+43.4000E-06,-10.6250000000E+00,+16.0000000000E+00
+43.5000E-06,-10.6250000000E+00,+15.6875000000E+00
+43.6000E-06,-13.7500000000E+00,+15.6875000000E+00
+43.7000E-06,-10.6250000000E+00,+16.0000000000E+00
+43.8000E-06,-10.6250000000E+00,+16.0000000000E+00
+43.9000E-06,-7.5000000000E+00,+15.6875000000E+00
+44.0000E-06,-10.6250000000E+00,+15.6875000000E+00
+44.1000E-06,-10.6250000000E+00,+16.0000000000E+00
+44.2000E-06,-10.6250000000E+00,+16.0000000000E+00
+44.3000E-06,-7.5000000000E+00,+15.6875000000E+00
+44.4000E-06,-10.6250000000E+00,+16.0000000000E+00
+44.5000E-06,-10.6250000000E+00,+16.0000000000E+00
+44.6000E-06,-7.5000000000E+00,+15.6875000000E+00
+44.7000E-06,-10.6250000000E+00,+15.6875000000E+00
+44.8000E-06,-10.6250000000E+00,+16.0000000000E+00
+44.9000E-06,-7.5000000000E+00,+15.6875000000E+00
+45.0000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.1000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.2000E-06,-10.6250000000E+00,+16.0000000000E+00
+45.3000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.4000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.5000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.6000E-06,-7.5000000000E+00,+16.0000000000E+00
+45.7000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.8000E-06,-10.6250000000E+00,+15.6875000000E+00
+45.9000E-06,-7.5000000000E+00,+16.0000000000E+00
+46.0000E-06,-10.6250000000E+00,+15.6875000000E+00
+46.1000E-06,-10.6250000000E+00,+15.6875000000E+00
+46.2000E-06,-7.5000000000E+00,+15.6875000000E+00
+46.3000E-06,-7.5000000000E+00,+15.6875000000E+00
+46.4000E-06,-7.4999999998E+00,+15.6875000000E+00
+46.5000E-06,+23.7500000003E+00,+15.6875000000E+00
+46.6000E-06,+73.7500000004E+00,+15.6875000000E+00
+46.7000E-06,+139.3750000005E+00,+15.6875000000E+00
+46.8000E-06,+211.2500000005E+00,+15.6875000000E+00
+46.9000E-06,+286.2500000005E+00,+16.0000000000E+00
+47.0000E-06,+367.5000000004E+00,+15.6875000000E+00
+47.1000E-06,+433.1250000001E+00,+16.0000000000E+00
+47.2000E-06,+442.5000000000E+00,+16.0000000000E+00
+47.3000E-06,+439.3750000000E+00,+15.6875000000E+00
+47.4000E-06,+445.6250000000E+00,+15.6875000000E+00
+47.5000E-06,+439.3750000000E+00,+15.6875000000E+00
+47.6000E-06,+442.5000000000E+00,+15.6875000000E+00
+47.7000E-06,+439.3750000000E+00,+15.6875000000E+00
+47.8000E-06,+439.3750000000E+00,+15.6875000000E+00
+47.9000E-06,+439.3750000000E+00,+15.6875000000E+00
+48.0000E-06,+445.6250000000E+00,+16.0000000000E+00
+48.1000E-06,+439.3750000000E+00,+16.0000000000E+00
+48.2000E-06,+439.3750000000E+00,+16.0000000000E+00
+48.3000E-06,+436.2500000000E+00,+16.0000000000E+00
+48.4000E-06,+436.2500000000E+00,+15.6875000000E+00
+48.5000E-06,+436.2500000000E+00,+16.0000000000E+00
+48.6000E-06,+436.2500000000E+00,+15.6875000000E+00
+48.7000E-06,+436.2500000000E+00,+16.0000000000E+00
+48.8000E-06,+433.1250000000E+00,+16.3125000000E+00
+48.9000E-06,+433.1250000000E+00,+15.6875000000E+00
+49.0000E-06,+439.3750000000E+00,+16.3125000000E+00
+49.1000E-06,+433.1250000000E+00,+16.0000000000E+00
+49.2000E-06,+433.1250000000E+00,+16.3125000000E+00
+49.3000E-06,+433.1250000000E+00,+16.3125000000E+00
+49.4000E-06,+433.1250000000E+00,+16.3125000000E+00
+49.5000E-06,+433.1250000000E+00,+16.0000000000E+00
+49.6000E-06,+433.1250000000E+00,+16.3125000000E+00
+49.7000E-06,+433.1250000000E+00,+16.0000000000E+00
+49.8000E-06,+430.0000000000E+00,+16.0000000000E+00
+49.9000E-06,+433.1250000000E+00,+16.3125000000E+00
+50.0000E-06,+430.0000000000E+00,+16.3125000000E+00
+50.1000E-06,+430.0000000000E+00,+16.0000000000E+00
+50.2000E-06,+430.0000000000E+00,+16.0000000000E+00
+50.3000E-06,+430.0000000000E+00,+16.3125000000E+00
